detector,controller,track,noise,laps_target,laps_done,completed_lap,lap_time_s,duration_s,n_frames,mean_abs_off_px,rms_off_px,max_abs_off_px,mean_iou,mean_conf,off_track_rate,mean_detect_ms,fps_equiv
polyfit,stanley,snake,0.0,1.0,1.0,True,29.183333333332957,29.199999999999623,1752.0,0.4801121548607267,0.6198302378900692,3.5340946505966335,0.3981701141155454,1.0,0.0,1.9793608183522027,505.21359760596334
centroid,pid,grand_prix,0.0,1.0,0.0,False,,12.283333333333523,738.0,28.38206977647307,34.96644156751277,108.38270776777865,0.4344513349880832,0.4334759096939926,0.12330623306233063,1.911022181666537,523.2801636702794
centroid,stanley,grand_prix,0.0,1.0,1.0,True,32.11666666666613,32.13333333333279,1928.0,0.6155101947144794,0.7639939823884506,2.475808234909931,0.6158346665808981,0.7779241833614284,0.0,2.3356336265253153,428.1493418501959
hough,pid,grand_prix,0.0,1.0,1.0,True,34.066666666666016,34.08333333333268,2045.0,24.563293341656998,24.751804161008092,27.7516053568407,0.2566218846592603,0.9926650366748166,0.0,0.76579671231563,1305.8295810335642
hough,stanley,grand_prix,0.0,1.0,1.0,True,32.11666666666613,32.13333333333279,1928.0,0.6155101947144794,0.7639939823884506,2.475808234909931,0.26685442626321504,0.9870331950207469,0.0,0.7269195249510438,1375.6680976031664
polyfit,pid,grand_prix,0.0,1.0,1.0,True,32.84999999999942,32.866666666666084,1972.0,16.109019320418362,17.679778263967528,34.51552846214741,0.357014292898828,1.0,0.0,1.9485458723120872,513.2032117947674
polyfit,stanley,grand_prix,0.0,1.0,1.0,True,32.11666666666613,32.13333333333279,1928.0,0.6155101947144794,0.7639939823884506,2.475808234909931,0.39925182590278124,1.0,0.0,1.9852468745641196,503.7156903821142
centroid,pid,mountain,0.0,1.0,0.0,False,,3.016666666666661,182.0,52.92695549532372,65.56133351931707,127.64997499914392,0.0,0.002025741185897436,0.5054945054945055,1.2168967591056212,821.7623989194998
centroid,stanley,mountain,0.0,1.0,1.0,True,33.88333333333269,33.89999999999936,2034.0,0.50927882012053,0.6635105667617448,3.00883602160994,0.6643825608488089,0.8923619049082253,0.0,2.4930403188871213,401.1166576104129
hough,pid,mountain,0.0,1.0,1.0,True,35.83333333333258,35.84999999999925,2151.0,23.60427446835117,23.784430846574573,26.107693930105885,0.3058105362445072,0.9918642491864249,0.0,0.7793537839868954,1283.114319256086
hough,stanley,mountain,0.0,1.0,1.0,True,33.88333333333269,33.89999999999936,2034.0,0.50927882012053,0.6635105667617448,3.00883602160994,0.32398225310736034,0.9864798426745329,0.0,0.74100154528148,1349.524851017869
polyfit,pid,mountain,0.0,1.0,1.0,True,34.76666666666598,34.78333333333264,2087.0,14.157349386455039,15.063737657298296,21.913819630174327,0.3918008154249081,1.0,0.0,1.9535771183002202,511.8815073295319
polyfit,stanley,mountain,0.0,1.0,1.0,True,33.88333333333269,33.89999999999936,2034.0,0.50927882012053,0.6635105667617448,3.00883602160994,0.5150732888422286,1.0,0.0,1.9778860138674041,505.59030853586853
centroid,pid,redbull_ring,0.0,1,0,False,,2.5166666666666626,152,94.99373088389436,117.72184695520644,228.39736136722777,0.006768427771384475,0.010261016310307017,0.6052631578947368,1.1221535194061671,891.1436650211554
centroid,stanley,redbull_ring,0.0,1,1,True,39.93333333333235,39.949999999999015,2397,1.21833349377981,1.9606591376732438,8.513424850391408,0.33104631078984953,0.3543665204335282,0.0,1.7778510235205898,562.476825543993
hough,pid,redbull_ring,0.0,1,1,True,47.349999999998595,47.36666666666526,2842,30.45998444558265,31.034883995690887,51.900749816571285,0.20785521542182858,0.9971850809289233,0.0,0.7260921774655719,1377.2356059398749
hough,stanley,redbull_ring,0.0,1,1,True,39.93333333333235,39.949999999999015,2397,1.21833349377981,1.9606591376732438,8.513424850391408,0.10691145534020233,0.9791405924071757,0.0,0.6704873644322752,1491.452416626426
polyfit,pid,redbull_ring,0.0,1,0,False,,22.383333333333344,1344,22.75512163746609,28.45931185632305,82.02230672143003,0.23928285161797613,1.0,0.06845238095238096,1.899710488400853,526.3959988144218
polyfit,stanley,redbull_ring,0.0,1,1,True,39.93333333333235,39.949999999999015,2397,1.21833349377981,1.9606591376732438,8.513424850391408,0.14945386304798594,1.0,0.0,1.874639274477477,533.4359594481091
